,pertanyaan,jawaban,penilai 1,penilai 2
30,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"a. originality (orisinalitas)

orisinalitas adalah keaslian dari karya ilmiah. yang dimaksud orisinalitas ini adalah bahwa penelitian ini benar-benar kita yang membuat nya, tidak memplagiat dari penelitain orang lain. Dalam hal orisinalitas ini peneliti selain dapat membuat penelitian baru, ia juga diperbolehkan untuk mengembangkan penelitian yang sudah ada sebelumnya, atau peneliti dapat menggunakan topik penelitian yang sama dengan peneliti lain, tetapi menggunakan metode yang berbeda.

b. Contribution (knntribusi)

kontribusi adalah segala sesuatu yang dilaksanakan untuk membantu menghasilkan produk dengan menemukan metode atau masalah baru yang disempurnakan atau original. Melalui kontribusi ini peneliti selanjutnya bisa mengatasi segala masalah isu topik dengan lebih efektif dan efisien. Maka secara tidak langsung peneliti bisa memberdayakan metode terbarunya tersebut untuk kepentingan masyarakat.

c. Novely (keterbaruan)

sebuah penelitian dikatakan baik apabila dapat menemukan unsur temuan baru yang dapat berkontribusi terhadap keilmuan ataupun kehidupan sehari-hari",8,8
31,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"-Orisinalitas

Penelitian harus orisinil, terserah orisinilnya seperti apa, entah mengangkat masalah yang baru, atau mengangkat masalah yang sudah ada namun dengan pendekatan yang baru/berbeda, atau malah keduanya. Bagus untuk mencegah plagiarisme dan supaya banyak topik penelitian yang tercover (karena masing-masing orang mengambil masalah/metode yang berbeda)

-Kontribusi

Penelitian harus mempunyai dampak, dampaknya bisa beragam, bisa untuk memberikan informasi pada masyarakat, memberikan dampak langsung ketika dipraktikan, meng-influence peneliti-peneliti lain untuk ikut mengangkat suatu masalah yang mungkin jarang diangkat, meng-influence peneliti lain untuk menggunakan metode yang mungkin jarang digunakan.

-Keterbaruan

Penelitian harus bersifat baru supaya kesimpulannya relatable dengan kondisi sekarang. Bila ingin meneliti tentang sesuatu di tahun 2022, sebaiknya menggunakan data 2021/2022 supaya hasilnya mendekati aslinya. Bisa juga meneliti sesuatu yang terakhir diteliti sudah lama sekali, dan anda ingin meneliti bagaimana masalah tersebut di masa sekarang dengan data yang sekarang (up to date)",8,9
32,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam penelitian adalah originality (orisinalitas) , contribution (kontribusi), dan novelty (keterbaruan)

- Originality

Orisinalitas ada dua jenis, yang pertama adalah orisinalitas pada metode yaitu penelitian yang akan dilakukan sudah pernah dilakukan oleh orang lain. Akan tetapi dengan metode yang berbeda. yang kedua adalah orisinalitas pada masalah yaitu penelitian yang akan dilakukan belum pernah dilakukan oleh orang lain. penelitian ini dapat berkontribusi pada penemuan masalah baru.

- Contribution

Penelitian yang dilakukan harus memiliki kontribusi pada metode atau masalah. kontribusi pada metode, artinya kita menemukan metode baru untuk menyelesaikan suatu permasalahan. Sedangkan, kontribusi pada masalah artinya penelitian yang dilakukan menemukan permasalahan baru.

 - Novelty

Penelitian yang dilakukan harus memiliki sifat keterbaruan, artinya permasalahan yang kita ambil merupakan permasalahan yang terjadi saat ini dan memiliki urgensi untuk mencari solusi dari permasalahan tersebut.",9,10
33,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"* Orisinalitas: Adalah sebuah aspek penelitian dimana hal yang dibahas merupakan karya yang asli dan bukan milik orang lain, yang artinya bidang kajian penelitian yang dibuat harus berbeda dengan penelitian yang pernah ada sebelumnya.

	* Kontribusi: Merupakan suatu metode yang dikembangkan untuk membantu memecahkan masalah penelitian.

	* Keterbaruan: Sebuah temuan yang baru yang didapatkan saat penelitian.",4,4
34,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"- Orisinalitas, yaitu isi dari penelitian merupakan pemecahan suatu masalah yang belum pernah dipecahkan oleh orang lain. Masalah yang sudah dikerjakan oleh orang lain dapat dipecahkan kembali namun dengan metode yang berbeda.

- Kontribusi, yaitu perbaikan metode atau metode yang dilakukan oleh penulis lebih baik dari metode yang sebelumnya ada. Penulis menerapkan metode yang sebelumnya tidak pernah digunakan oleh orang lain.

- novelty, yaitu kebaruan. Pada penelitian yang dilakukan, ditemukan unsur temuan baru. ",6,6
35,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originalitas: originalitas dalam sebuah penelitian terbagi menjadi dua, yang pertama originalitas yang dilihat pada metode yang berarti memecahkan masalah yang sudah ada penyelesaiannya, tetapi dengan metode yang berbeda. kemudian yang kedua originalitas pada masalah bertujuan untuk memecahkan masalah baru yang sebelumnya belum perah ada seorang lain yang mengerjakannya. 

2. kontribusi: kontribusi merupakan penerapan metode ABC dalam pemecahan masalah konvergensi.

3. keterbaruan: hal ini adalah unsur suatu keterbaruan atau temuan dari sebuah penelitian yang mana jika sebuah penelitian dikatakan baik, penelitian tersebut menemukan unsur temuan baru.",6,7
36,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Dalam penelitian, ada 3 aspek utama yang harus dipenuhi.

1. Originality (orisinalitas). Orisinalitas dibagi menjadi dua, orisinalitas pada metode dan orisinalitas pada masalah. Orisinalitas pada metode adalah peneliti memecahkan masalah yang sudah pernah dipecahkan oleh orang lain sebelumnya, namun dengan metode atau cara yang berbeda. Orisinalitas pada masalah ialah peneliti memecahkan masalah yang belum pernah dipecahkan oleh orang lain sebelumnya.

2. Contribution (kontribusi). Kontribusi juga dibagi menjadi dua, yang pertama ialah kontribusi pada metode yang artinya menerapkan metode yang sebelumnya tidak pernah digunakan oleh orang lain untuk memecahkan masalah dalam suatu penelitian. Kedua adalah kontribusi pada masalah, artinya ialah memperbanyak solusi yang digunakan untuk memecahkan suatu masalah penelitian sehingga memberikan peluang ketersediaan data.

3. Novelty (keterbaruan). Sebuah penelitian yang dibuat harus merupakan penelitian terbaru, baik dalam segi masa maupun metode. Waktu dalam penelitian harus terbaru dan metode juga baru.",9,10
37,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Di dalam penelitian terdapat 3 aspek utama, yaitu:

	* Originality (orisinalitas)
	* Contribution (kontribusi)
	* Novelty (keterbaruan)

Orisinalitas berarti terdapat sesuatu dari kita yang orisinil di dalam penelitian tersebut. Orisinil di sini berarti belum pernah ada orang lain yang melakukan hal yang sama. Terdapat beberapa orisinalitas, misalnya orisinalitas pada metode yang berarti di dalam penelitian, masalah yang diteliti sudah pernah diteliti oleh orang lain sebelumnya, akan tetapi kita memecahkan masalahnya dengan metode yang berbeda. Kemudian orisinalitas pada masalah berarti kita memecahkan suatu permasalahan yang belum pernah dipecahkan oleh orang lain sebelumnya. 

Kontribusi berarti memberikan kontribusi terhadap penelitian, terdapat pula beberapa jenis kontribusi, ada kontribusi pada masalah yang kita berkontribusi terhadap permasalahan yang baru, kemudian ada juga kontribusi pada metode, di mana kita menerapkan suatu metode baru yang belum dilakukan sebelumnya terhadap permasalahan yang sudah ada.

Sebuah penelitian bisa dikatakan terdapat unsur keterbaruan atau novelty jika di dalam penelitian tersebut terdapat sebuah temuan baru yang bisa jadi permasalahan atau metode. Jika sebuah penelitian sudah memenuhi aspek orisinalitas dan juga kontribusi, maka penelitian tersebut hampir pasti dikatakan sebuah penelitian yang memenuhi aspek novelty atau keterbaruan. ",9,10
38,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Originalitas, Kontribusi, Keterbaruan

Originalitas, artinya memecahkan sebuah masalah yang sudah diselesaikan sebelumnya dengan metode yang berbeda, atau bahkan memecahkan masalah yang belum pernah diselesaikan sebelumnya

Kontribusi, artinya menerapkan metode abc yang sebelumnya tak pernah digunakan orang untuk memecahkan masalah konvergensi

Keterbaruan, artinya terdapat sebuah aspek baru dalam penelitian yang dijalani, penelitian dikatakan bagus jika aspek tersebut terpenuhi",6,7
39,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORIGINALITY adalah aspek yang membahas tentang  metode dan/atau masalah, apakah sudah ada yang menggunakannya atau belum. 

CONTRIBUTION adalah aspek yang membahas tentang metode dan/atau masalah tersebut menghasilkan sesuatu yang baru atau menyempurnakan apa yang sudah ada.

NOVELTY adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.",8,7
40,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama yang harus dimiliki dalam sebuah penelitian :

1. Originality (orisinalitas), berarti penelitian memecahkan suatu masalah yang orang lain sudah pernah mengerjakan sebelumnya, tetapi dengan metode yang berbeda (orisinalitas pada metode).

Orisinalitas juga dapat berupa memecahkan suatu masalah yang orang lain belum pernah menyelesaikan/mengerjakan sebelumnya (orisinalitas pada masalah).

2. Contribution (kontribusi), yaitu menerapkan metode yang sebelumnya tidak pernah digunakan orang untuk memecahkan suatu masalah konvergensi. Kontribusi dapat berupa kontribusi pada metode maupun kontirbusi pada masalah.

3. Novelty (kebaruan), adalah unsur kebaruan atau temuan baru dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru.",8,8
41,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"ORIGINALITY(ORISINALITAS)Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya

dibagi menjadi dua yaitu pada metode dan pada maslaah

PADA METODE:
-Memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya, tapi dengan metode yang berbeda

PADA MASALAH
-Memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya
-Model penelitian yang kontribusi ada pada penemuan masalah baru sebagai obyek penerapan metode

CONTRIBUTION(KONTRIBUSI)

KONTRIBUSI PADA METODE
-Penerapan Metode ABC dalam Pemecahan Masalah Konvergensi padaMetode Latent Dirichlet Allocation untuk Menentukan Harga Kebutuhan Pokok di Indonesia berdasarkan Sinyal Sosial Media
-Kontribusi: Menerapkan Metode ABC yang sebelumnya tidak pernahdigunakan orang untuk memecahkan masalah konvergensi

KONTRIBUSI PADA MASALAH
-Nowcasting Trafic Congestion based on Social Media Signal and TimeSeries Data using XYZ Method

NOVELTY(KETERBARUAN)
Novelty adalah unsur kebaruan atau temuan dari sebuah penelitian.Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.",7,7
42,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam penelitian / riset:

1. Originality (Orisinalitas):

Suatu penelitian harus orisinil agar tidak mengulang penelitian yang telah dilakukan oleh orang lain, sehingga penelitian yang dilakukan menjadi tidak sia-sia dan memiliki kontribusi.

2. Contribution (Kontribusi):

Suatu penelitian harus memiliki kontribusi terhadap ilmu pengetahuan dan terhadap umat manusia, seperti kontribusi menemukan metode penyelesaian baru yang lebih cepat, kontribusi menyelesaikan masalah yang baru, dan lain-lain.

3. Novelty (Keterbaruan):

Suatu penelitian harus merupakan hal yang baru, sehingga hasil penelitian adalah hal yang baru yang tidak pernah ditemukan sebelumnya dan dapat menjadi opsi / ilmu baru yang dapat menyelesaikan permasalahan-permasalahan yang ada saat ini.",5,6
43,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama yang harus dimiliki dalam sebuah penelitian adalah:

1. Originality (Orisinalitas)

Orisinalitas berarti keaslian, tidak plagiat atau mengcopy hasil penelitian orang lain

Orisinalitas terbagi menjadi 2, orisinalitas pada metode(bisa saja penelitian yang orang lain sudah pernah dikerjakan, tetapi dengan metode yang berbeda) dan orisinalitas pada masalah(penelitian baru yang orang lain belum pernah mengerjakannya)

2. Constribution(Konstribusi)

Konstibusi berarti penerapan metode yang sebelumnya jarang atau tidak pernah digunakan oleh peneliti lain untuk memecahkan masalah. Hal ini tidak harus ada dalam penelitian, karena bisa saja ada penelitian tanpa konstribusi.

3. Novelty(Keterbaruan)

Novelty adalah unsur keterbaruan atau temuan baru dari sebuah penelitian. Penelitian dikatakan berjalan dengan sangat baik jika hasil penelitian dapat menemukan hal baru.",6,8
44,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama yang harus dimiliki dalam sebuah penelitian adalah orisinalitas, kontribusi, dan keterbaruan.

1. Orisinalitas : orisinalitas merupakan aspek yang menandakan bahwa hasil penelitian ini benar-benar dilakukan sendiri oleh para peneliti tanpa mencuri hasil penelitian miliki orang lain. Aspek ini terbagi menjadi 2 hal, yaitu orisinalitas pada metode dan orisinalitas pada masalah

2. Kontribusi : kontribusi merupakan aspek yang menunjukkan bahwa suatu penelitian harus memberikan dampak kepada masyarakat atau penerapan suatu ilmu. Aspek ini juga dapat dilihat dari segi metode dan masalah yang memiliki kontribusi dari hasil penelitiannya.

3. Keterbaruan : Keterbaruan merupakan aspek yang menciptakan suatu metodologi atau pengamatan yang baru sehingga menghasilkan suatu penemuan yang sebelumnya belum ada.",6,6
45,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. aspek ontologis , yaitu berkenaan dengan objek studi. Aspek ontologis berkenaan dengan apa yang diketahui, apa yang dipikirkan atau apa yang menjadi masalah.

2. aspek epistimologis, yaitu berkenan dengan bagaimana ilmu mempelajari objek studinya dengan menggunakan metode tertentu yaitu metode ilmiah yang didukung oleh sarana berfikir ilmiah.

3. aspek aksiologis, yaitu berkenaan dengan aspek manfaat ilmu. nilai guna ilmu adalah untuk mendeskripsikan,menjelaskan dan memprediksi berbagai fenomena yang sesuai objek studi yang dipelajari.

Dalam penelitian aspek askiologis da;am saran  atau rekomendasi hasil penelitian.",0,0
46,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Ada 3 aspek utama dalam riset atau penelitian yaitu :

1. Orisinalitas

2. Kontribusi 

3. Keterbaruan 

 

1. Orisinalitas 

orisinalitas dibagi menjadi dua yaitu pada metode dan pada masalah. orisinalitas pada metode : memecahkan masalah yang orang lain sudah pernah mengerjakan sebelumnya namun dengan metode yang berbeda. 

orisinalitas pada masalah : memecahkan masalah yang orang lain belum pernah mengerjakan sebelumnya serta model penelitian yang kontribusinya ada pada penemuan masalah baru. 

 

2. Kontribusi

Kontribusi ada dua yaitu pada metode dan pada masalah: Maksud dari kontribusi penelitian adalah perbaikan dari metode, ilmu pengetahuan, cara, model dan algoritma. Hal tersebut sering disebut method improvement yang dilakukan oleh peneliti.

3. Keterbaruan : disebut juga novelty yaitu unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.

 

Dimana peneliti dapat menghasilkan kebaruan penelitian dengan :

1.       Menyajikan sejumlah informasi baru dimana peneliti merupakan orang pertama yang melakukannya.

2.       Memperluas, mengkualifikasi atau mengelaborasi sejumlah kegiatan yang sudah ada sebelumnya.

3.       Melakukan sebagian karya asli yang dirancang orang lain.",8,8
47,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian adalah sbb:

1.  aspek substansial (isi), 

menyangkut isi karya ilmiah yakni informasi keilmuan yang terkandung di dalamnya. Apakah informasi keilmuannya tergolong baru (up to date), aktual, urgen, dan memiliki nilai manfaat yang lama atau sebentar. 

2. aspek metodologis,

Aspek metodologis menyangkut prosedur dan cara penyusunan karya ilmiah baik metode penelitian (jika karya ilmiah itu merupakan hasil sebuah penelitian) maupun metode penulisan. 

3. aspek kebahasaan.  

Aspek kebahasaan meliputi tata bahasa (struktur), diksi, dan ejaan. 

Ketiga aspek diatas sangat berkaitan erat dan menjadi suatu kesatuan. Hal ini berarti bahwa ketiga aspek diatas menentukan tingkat atau bobot dari penelitian yang akan dilakukan apakah untuk skripsi (S1), Thesis (S2), dan Disertasi (S3) . Sehingga hal ini sangat berpengaruh pada ketiga aspek dan bobot penelitian. Jika terdapat 1 di lebih-lebihkan, maka  ketiga aspek tersebut lemah, akhirnya bobot karya ilmiah tersebut menjadi berkurang.",0,0
48,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originality (Originalitas) yang berarti memecahkan suatu masalah yang orang lain belum pernah mengerjakan sebelumnya.

2. Contribution (Kontribusi) yang berarti menerapkan metode ABC yang sebelumnya tidak pernah digunakan orang lain untuk memecahkan masalah konvergensi.

3. Novelty (Keterbaruan) yang berarti penelitian harus memiliki unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun kehidupan.",6,5
49,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Dalam penelitian terdapat 3 aspek utama yaitu

	* originalitas, dimana penelitian tersebut memiliki originalitas dalam hal metode yang belum pernah dikerjakan atau berbeda namun dengan masalah yang sama. dan originalitas dalam hal masalah yang belum pernah dibahas oleh orang lain sehingga menjadi penemuan baru.
	* konstribusi, dimana peneliti berkontribusi dalam hal penerapan metode abc untuk memecahkan masalah. serta berkontribusi dalam permasalahan baru. yang intinya adalah membantu untuk menyempurnakan penelitian terdahulu sehingga dapat terus digunakan dan berkembang hingga sekarang.
	* keterbaruan, dimana terdapat hal baru pada penelitian yang dilakukan, hal ini bertujuan agar tidak terjadi pengulangan dalam penelitian yang kurang berdampak pada penelitian. keterbaruan menjadi syarat dalam penelitian. solusi baru yang lebih efektif dan cepat dapat dikatakan sebagai keterbaruan.",8,9
50,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Ada 3 aspek utama dalam penelitian yaitu:
1. Originality (orisinalitas)

Orisinalitas merupakan bentuk dari keaslian, artinya sebuah penelitian merupakan sebuah penelitian asli yang mana orang lain belum pernah menuliskannya. Orisinalitas juga memiliki arti bahwa suatu penelitian merupakan hal yang benar dan tidak plagiat dengan penelitian orang lain. Ada 2 macam orisinalitas, yaitu orisinalitas pada metode yang mana suatu permasalahan sudah pernah diteliti, namun kali ini dengan metode baru yang berbeda, kedua orisinalitas pada masalah berati memecahkan suatu masalah penelitian yang orang lain belum pernah mengerjakan.

2. Contribution (Kontribusi)

Maksud dari kontribusi disini adalah perbaikan dari metode, ilmu pengetahuan, cara, model dan algoritma. Hal tersebut sering disebut _method improvement_ yang dilakukan oleh peneliti. Kontribusi penelitian berfokus pada cara peneliti untuk mengembangkan metode, perbaikan yang lebih pada orisinalitas dan kebaruan pada metode yang sedang dikembangkan dalam penelitian. Kontribusi juga ada 2 macam yaitu kontribusi terhadap metode, dan kontribusi terhadap masalah.

3. Novelty (Keterbaruan)

Novelty adalah unsur kebaruan atau temuan dari sebuah penelitian, artinya sebuah penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan. Novelty pada dasarnya merupakan unsur orisinalitas suatu temuan yang bersifat baru. Artinya menemukan apa yang belum ditemukan orang lain. Menemukan celah pengetahuan baru, masalah baru dan metode baru dari sekian banyak riset yang telah dilakukan. Novelty ditemukan ketika kita mencoba menjelajahi fenomena dari permasalahan penelitian. Dapat saja sebuah penelitian dikatakan memiliki novelty walaupun mempunyai variabel penelitian yang sama tetapi dengan lingkungan yang berbeda.",8,8
51,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Substansial, Metodologi, dan Kebahasaan

Substansial dalam penelitian yaitu merujuk pada substansi tertentu yang akan diteliti. Masalah yang akan diteliti harus memiliki substansi yang jelas. Pada penelitian ilmiah, substansi mengacu pada teori tertentu yang berada dalam lingkup ilmu pengetahuan.

Metodologi dalam penelitian adalah ilmu yang dipakai dalam menemukan sesuatu atau mencari sesuatu yang bermakna secara berulang.

Kebahasaan, yaitu",0,0
52,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"* originality (orisinalitas)

	* orisinalitas pada metode : memecahkan masalah yang orang lain sudah pernah mengerjakan
sebelumnya, tapi dengan metode yang berbeda

	* orisinalitas pada masalah : memecahkan suatu masalah yang orang lain belum pernah mengerjakan
sebelumnya; model penelitian yang kontribusi ada pada penemuan masalah baru
sebagai obyek penerapan metode

	*  contribution (kontribusi)

	* kontribusi pada metode : menerapkan suatu metode yang sebelumnya tidak pernah
digunakan orang untuk memecahkan masalah konvergensi

	* kontribusi pada masalah : melakukan sesuatu untuk membantu menghasilkan produk dengan menemukan masalah baru yang disempurnakan ataupun original.

	* novelty (keterbaruan)

	* novelty adalah unsur kebaruan atau temuan dari sebuah penelitian. Penelitian dikatakan baik jika menemukan unsur temuan baru sehingga memiliki kontribusi baik bagi keilmuan maupun bagi kehidupan.",9,8
53,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Aspek substansial, yautu aspek yang berkaitan dengan isi dan tujuan serta hasil dari penelitian itu sendiri.

2. Aspek metodologi, yaitu konsep serta cara-cara dan bagaimana penelitian itu dibuat.

3. Aspek kebahasaan, berkaitan dengan bahasa yang digunakan dalam penyampaian akhir dari penelitian yang akan dibuat kedalam karya ilmiah.",0,0
54,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam sebuah penelitian :

1. orisinalitas

yang berarti penelitian yang akan dilaksanakan bersifat memecahkan masalah yang sebelumnya sudah dipecahkan dengan metode yang berbeda dan atau melakukan penelitian yang sebelumnya belum pernah dilakukan.

2. kontribusi

memberikan ide atau masukan terhadap cara penyelesaian terhadap topik yang diangkat atau kasus yang ada.

3. keterbaruan

penelitian yang dilakukan memiliki data terbaru dan lebih valid dari data penelitian yang sebelumnya telah dilakukan.",6,6
55,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"3 aspek utama dalam penelitian antara lain :
1. Orosinalitas, 

a. orisinalitas pada metode, di mana memecahkan suatu masalah yang orang lain sudah pernah mengerjakan sebelumnya tetapi dengan metode yang berbeda. di mana saat melakukan penelitian ada masalah lalu kita harus mencari metodenya. masalah dalam penelitian boleh sama akan tetapi harus berdasarkan pada penelusuran.

b. orisinalitas pada masalah, yaitu memecahkan suatu masalah yang orang lain belum pernah mengerjakan. di mana model penelitian yang yang digunakan pada penemuan masalah baru digunakan sebagai objek penerapan metode yang akan kita gunakan saat penelitian. pada penleitian ini kita bisa menggunakan metode apa pun untuk mnegembangkan penelitian kita.

2. Kontribusi, 

a. kontribusi pada metode,yaitu memecahkan suatu masalah dengan menggunakan metode tertentu yang sebelumnya tidak pernah digunakan orang untuk memecahkan suatu masalah.

b. kontribusi pada masalah, di mana penelitian dilakukan berdasarkan data historis. kebanyakan peneliti menggunakan data time series dari yang baru, bukan dari data lama.

3. Novelty, merupakan suatu hal yang harus fresh dan belum pernah dilakukan orang lain",8,8
56,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. Originality

Originality merupakan aspek dari penelitian yang ingin dibuat sebagai suatu penelitian atau riset yang baru. Dimana  dalam aspek originality harus dijelaskan perbedaan antara penelitian yang akan dilakukan dengan penelitian yang sebelumnya pernah dilakukan pada satu topik yang sama. Orisinalitas bisa dari metode dan masalah dari penelitian. 

2. Contribution

Kontribusi merupakan aspek dimana apa pengaruh dan seberapa besar kontribusi dari penelitian yang dilakukan terhadap lingkungan, organisasi, atau masyarakat. Kontribusi bisa dari metode dan masalah.

3. Novelty

Novelty merupakan unsur kebaruan atau temuan dari sebuah penelitian. Suatu penelitian harus memeiliki unsur yang baru dari penelitian sebelumnya. ",7,8
57,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"1. originality = Pemecahan masalah yang orang lain sudah pernah mengerjakan sebelumnya, tapi dengan metode yang berbeda

2. contribution = : Penerapkan Metode baru atau modifikasi yang sebelumnya tidak pernah digunakan orang untuk memecahkan masalah konvergensi

3. novelty = unsur kebaruan atau temuan dari sebuah penelitian",6,6
58,Dalam penelitian terdapat 3 aspek utama yang harus dimiliki dalam sebuah penelitian.  Sebutkan dan jelaskan selengkap mungkin yang anda ketahui mengenai hal tersebut!,"Tiga aspek utama dalam penelitan adalah ORISINALITAS(originality), KONTRIBUSI (contribution), KETERBARUAN(novelty). 

ORISINALITAS merupakan keaslian karya yang ditulis dan tidak pernah ditulis oleh orang lain. orisinalitas dapat dibagi menjadi orisinalitas masalah atau metode.

	* pada masalah,memecahkan persoalan yang berlum pernah dikerjakan orang lain sebelum nya
	* pada metode, berarti dapat memecahkan masalah yang sudah ada tapi dengan metode yang baru atau berbeda

KONTRIBUSI  merupakan kegiatan untuk mendorong menghasilkan karya dengan menemukan metode atau masalah baru yang baru atau disempurnakan. Kontribusi dapat dibagi menjadi orisinalitas masalah atau metode. 

	* pada masalah,menggunakan sarana lain dalam memecahkan masalah yang telah ada. 
	* pada metode, berarti dapat memecahkan masalah dengan metode yang tidak pernah digunakan dalam memeahkan masalah tersebut

penelitian bisa saja tidak menggunakan kontribusi di dalamnya.

KETERBARUAN adalah ketika suatu karya mengadung unsur,temuan, atau sesuatu yang baru dan belum pernah ada di dalamnya. ",9,9
